ItemCode,Name,EngName,Cat,Type,Overall,Core,BoJCore,WesternCore,CPIExImpRents,CPIExImpRents&FF,GoodsExFFE,GenSerExRents,Ser,Foods,Alcohol,ImpRents,Energy,FreshFoods,in2020,in2015,in2010,in2005r,in2005,Name20,Cat20,weight20,Name15,Cat15,weight15,Name10,Cat10,weight10,Name05r,Cat05r,weight05r,Name05,Cat05,weight05,yoy_std,yoy_std_cat,freq_of_adj,UedaCat,Chg_in_months,freq_cat
1151,揚げかまぼこ,"“Agekamaboko”, fried fish-paste patties",3,Goods,1,1,1,0,1,1,1,0,0,1,0,0,0,0,1,1,1,1,1,揚げかまぼこ,3,7,揚げかまぼこ,3,8,揚げかまぼこ,3,8,揚げかまぼこ,4,8,揚げかまぼこ,4,8,5.161676549,High,30.2,Food products,3.31,High
1152,ちくわ,"“Chikuwa”, baked fish-paste bars",3,Goods,1,1,1,0,1,1,1,0,0,1,0,0,0,0,1,1,1,1,1,ちくわ,3,5,ちくわ,3,6,ちくわ,3,6,ちくわ,4,5,ちくわ,4,5,5.698106715,High,22.6,Food products,4.42,Mid
1153,かまぼこ,"“Kamaboko”, steamed fish-paste cakes",3,Goods,1,1,1,0,1,1,1,0,0,1,0,0,0,0,1,1,1,1,1,かまぼこ,3,10,かまぼこ,3,10,かまぼこ,3,10,かまぼこ,4,10,かまぼこ,4,10,4.893772168,High,12.1,Food products,8.29,Mid
1161,かつお節,Dried bonito fillets,3,Goods,1,1,1,0,1,1,1,0,0,1,0,0,0,0,1,1,1,1,1,かつお節,3,3,かつお節,3,3,かつお節,3,3,かつお節,3,3,かつお節,3,3,5.472532043,High,13.4,Food products,7.48,Mid
1163,塩辛,#N/A,3,Goods,1,1,1,0,1,1,1,0,0,1,0,0,0,0,0,1,1,1,1,,,,塩辛,3,2,塩辛,3,1,塩辛,4,1,塩辛,4,1,3.564761023,Mid,11.1,Food products,8.98,Mid
1165,魚介漬物,Pickled fish,3,Goods,1,1,1,0,1,1,1,0,0,1,0,0,0,0,1,1,1,1,1,魚介漬物,3,11,魚介漬物,3,11,魚介漬物,3,11,魚介漬物,4,11,魚介漬物,4,11,4.92551307,High,69.9,Food products,1.43,High
1166,魚介つくだ煮,Fish prepared in soy sauce,3,Goods,1,1,1,0,1,1,1,0,0,1,0,0,0,0,1,1,1,1,1,魚介つくだ煮,3,4,魚介つくだ煮,3,4,魚介つくだ煮,3,4,魚介つくだ煮,4,5,魚介つくだ煮,4,5,2.758812283,Mid,13.8,Food products,7.22,Mid
1167,いくら,Salmon roe,3,Goods,1,1,1,0,1,1,1,0,0,1,0,0,0,0,1,1,1,0,0,いくら,3,4,いくら,3,4,いくら,3,5,,,,,,,8.186606553,High,21.4,Food products,4.67,Mid
1173,魚介缶詰,Canned fish,3,Goods,1,1,1,0,1,1,1,0,0,1,0,0,0,0,1,1,1,1,1,魚介缶詰,3,11,魚介缶詰,3,9,魚介缶詰,3,8,魚介缶詰,3,8,魚介缶詰,3,8,4.8269066,High,19.1,Food products,5.23,Mid
1201,牛肉（国産品）,Beef (domestic),1,Goods,1,1,1,0,1,1,1,0,0,1,0,0,0,0,1,1,1,1,1,牛肉（国産品）,1,39,牛肉（国産品）,1,43,牛肉Ａ,1,44,牛肉Ａ,1,45,牛肉Ａ,1,45,2.029928768,Mid,35.2,Fresh food,2.84,High
1203,牛肉（輸入品）,Beef (imported),1,Goods,1,1,1,0,1,1,1,0,0,1,0,0,0,0,1,1,1,1,1,牛肉（輸入品）,1,26,牛肉（輸入品）,1,18,牛肉Ｂ,1,11,牛肉Ｂ,1,15,牛肉Ｂ,1,15,6.606681143,High,33.9,Fresh food,2.95,High
1211,豚肉（国産品）,Pork (domestic),1,Goods,1,1,1,0,1,1,1,0,0,1,0,0,0,0,1,1,1,1,1,豚肉（国産品）,1,54,豚肉Ａ,1,43,豚肉Ａ,1,35,豚肉Ａ,1,33,豚肉Ａ,1,33,2.572405374,Mid,24.4,Fresh food,4.09,High
1212,豚肉Ｂ,#N/A,1,Goods,1,1,1,0,1,1,1,0,0,1,0,0,0,0,0,1,1,1,1,,,,豚肉Ｂ,1,43,豚肉Ｂ,1,35,豚肉Ｂ,1,33,豚肉Ｂ,1,33,2.684627809,Mid,23.8,Fresh food,4.20,Mid
1214,豚肉（輸入品）,Pork (imported),1,Goods,1,1,1,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,豚肉（輸入品）,1,36,,,,,,,,,,,,,3.239839218,Mid,65.8,Fresh food,1.52,High
1221,鶏肉,Chicken,1,Goods,1,1,1,0,1,1,1,0,0,1,0,0,0,0,1,1,1,1,1,鶏肉,1,45,鶏肉,1,43,鶏肉,1,34,鶏肉,1,29,鶏肉,1,29,2.898595067,Mid,25.2,Fresh food,3.97,High
1241,レバー,#N/A,1,Goods,1,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,1,1,1,,,,,,,レバー,1,1,レバー,1,1,レバー,1,1,1.832178002,Low,65.8,Fresh food,1.52,High
1252,ハム,Ham,3,Goods,1,1,1,0,1,1,1,0,0,1,0,0,0,0,1,1,1,1,1,ハム,3,14,ハム,3,18,ハム,3,17,ハム,3,17,ハム,3,17,2.17087679,Mid,18.5,Food products,5.42,Mid
1261,ソーセージ,Sausages,3,Goods,1,1,1,0,1,1,1,0,0,1,0,0,0,0,1,1,1,1,1,ソーセージ,3,21,ソーセージ,3,23,ソーセージ,3,21,ソーセージ,3,19,ソーセージ,3,19,3.174974045,Mid,18.2,Food products,5.48,Mid
1271,ベーコン,Bacon,3,Goods,1,1,1,0,1,1,1,0,0,1,0,0,0,0,1,1,1,1,1,ベーコン,3,8,ベーコン,3,8,ベーコン,3,7,ベーコン,3,6,ベーコン,3,6,2.512095322,Mid,15.9,Food products,6.27,Mid
1292,味付け肉,Seasoned meat,3,Goods,1,1,1,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,味付け肉,3,6,,,,,,,,,,,,,2.173259201,Mid,23.0,Food products,4.35,Mid
1301,牛乳（配達）,#N/A,3,Goods,1,1,1,0,1,1,1,0,0,1,0,0,0,0,0,1,1,1,1,,,,牛乳（配達）,3,2,牛乳（配達）,3,2,牛乳（配達）,3,10,牛乳（配達）,3,10,2.881769829,Mid,2.0,Food products,51.16,Mid
1303,牛乳,Fresh milk,3,Goods,1,1,1,0,1,1,1,0,0,1,0,0,0,0,1,1,1,1,1,牛乳,3,41,牛乳（店頭売り）,3,39,牛乳（店頭売り）,3,41,牛乳（店頭売り）,3,40,牛乳（店頭売り）,3,40,2.634438033,Mid,10.7,Food products,9.32,Mid
1311,粉ミルク,Powdered milk,3,Goods,1,1,1,0,1,1,1,0,0,1,0,0,0,0,1,1,1,1,1,粉ミルク,3,2,粉ミルク,3,2,粉ミルク,3,2,粉ミルク,3,3,粉ミルク,3,3,4.092227485,High,9.6,Food products,10.42,Mid
1321,バター,Butter,3,Goods,1,1,1,0,1,1,1,0,0,1,0,0,0,0,1,1,1,1,1,バター,3,3,バター,3,3,バター,3,2,バター,3,2,バター,3,2,3.691858517,Mid,10.5,Food products,9.54,Mid
1331,チーズ（国産品）,Cheese (domestic),3,Goods,1,1,1,0,1,1,1,0,0,1,0,0,0,0,1,1,1,1,1,チーズ（国産品）,3,10,チーズ（国産品）,3,8,チーズ,3,6,チーズ,3,2,チーズ,3,2,7.206638636,High,28.2,Food products,3.54,High
1332,チーズ（輸入品）,Cheese (imported),3,Goods,1,1,1,0,1,1,1,0,0,1,0,0,0,0,1,1,1,1,1,チーズ（輸入品）,3,7,チーズ（輸入品）,3,5,チーズ（輸入品）,3,6,チーズ（輸入品）,3,6,チーズ（輸入品）,3,6,3.916857629,High,8.6,Food products,11.56,Mid
1333,ヨーグルト,Yogurt,3,Goods,1,1,1,0,1,1,1,0,0,1,0,0,0,0,1,1,1,1,1,ヨーグルト,3,37,ヨーグルト,3,33,ヨーグルト,3,24,ヨーグルト,3,22,ヨーグルト,3,22,3.047685759,Mid,24.7,Food products,4.04,High
1341,鶏卵,Hen eggs,1,Goods,1,1,1,0,1,1,1,0,0,1,0,0,0,0,1,1,1,1,1,鶏卵,1,25,鶏卵,1,25,鶏卵,1,22,鶏卵,1,23,鶏卵,1,23,12.20698873,High,26.3,Fresh food,3.80,High
1401,キャベツ,Cabbage,1,Goods,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,1,1,1,キャベツ,1,10,キャベツ,1,11,キャベツ,1,9,キャベツ,1,9,キャベツ,1,9,59.46786923,High,100.0,Fresh food,1.00,High
1402,ほうれんそう,Spinach,1,Goods,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,1,1,1,ほうれんそう,1,7,ほうれんそう,1,8,ほうれんそう,1,8,ほうれんそう,1,9,ほうれんそう,1,9,27.24347599,High,100.0,Fresh food,1.00,High
1403,はくさい,Chinese cabbage,1,Goods,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,1,1,1,はくさい,1,4,はくさい,1,5,はくさい,1,4,はくさい,1,5,はくさい,1,5,50.84450753,High,100.0,Fresh food,1.00,High
1405,ねぎ,Welsh onions,1,Goods,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,1,1,1,ねぎ,1,11,ねぎ,1,11,ねぎ,1,11,ねぎ,1,11,ねぎ,1,11,30.66837056,High,100.0,Fresh food,1.00,High
1406,レタス,Lettuce,1,Goods,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,1,1,1,レタス,1,9,レタス,1,10,レタス,1,8,レタス,1,8,レタス,1,8,45.78866098,High,100.0,Fresh food,1.00,High
1407,もやし,Bean sprouts,1,Goods,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,1,1,1,もやし,1,4,もやし,1,4,もやし,1,4,もやし,1,4,もやし,1,4,2.884185892,Mid,27.5,Fresh food,3.63,High
1409,ブロッコリー,Broccoli,1,Goods,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,1,1,1,ブロッコリー,1,8,ブロッコリー,1,7,ブロッコリー,1,6,ブロッコリー,1,6,ブロッコリー,1,6,16.48499986,High,100.0,Fresh food,1.00,High
1410,アスパラガス,Asparagus,1,Goods,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,1,1,1,アスパラガス,1,5,アスパラガス,1,5,アスパラガス,1,5,アスパラガス,1,4,アスパラガス,1,4,7.151151615,High,99.9,Fresh food,1.00,High
1411,さつまいも,Sweet potatoes,1,Goods,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,1,1,1,さつまいも,1,3,さつまいも,1,3,さつまいも,1,3,かんしょ,1,3,かんしょ,1,3,13.39872562,High,91.0,Fresh food,1.10,High
1412,じゃがいも,White potatoes,1,Goods,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,1,1,1,じゃがいも,1,7,じゃがいも,1,8,じゃがいも,1,8,ばれいしょ,1,8,ばれいしょ,1,8,18.61879809,High,89.0,Fresh food,1.12,High
1413,さといも,Taros,1,Goods,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,1,1,1,さといも,1,2,さといも,1,3,さといも,1,3,さといも,1,3,さといも,1,3,25.35179402,High,85.4,Fresh food,1.17,High
1414,だいこん,Radishes,1,Goods,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,1,1,1,だいこん,1,5,だいこん,1,6,だいこん,1,5,だいこん,1,6,だいこん,1,6,32.77020022,High,100.0,Fresh food,1.00,High
1415,にんじん,Carrots,1,Goods,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,1,1,1,にんじん,1,7,にんじん,1,7,にんじん,1,7,にんじん,1,8,にんじん,1,8,25.19635009,High,93.6,Fresh food,1.07,High
1416,ごぼう,Burdocks,1,Goods,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,1,1,1,ごぼう,1,3,ごぼう,1,3,ごぼう,1,3,ごぼう,1,4,ごぼう,1,4,22.52377181,High,94.4,Fresh food,1.06,High
1417,たまねぎ,Onions,1,Goods,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,1,1,1,たまねぎ,1,10,たまねぎ,1,10,たまねぎ,1,10,たまねぎ,1,9,たまねぎ,1,9,30.81731481,High,99.9,Fresh food,1.00,High
1419,れんこん,Lotus roots,1,Goods,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,1,1,1,れんこん,1,3,れんこん,1,3,れんこん,1,3,れんこん,1,3,れんこん,1,3,16.75118188,High,95.8,Fresh food,1.04,High
1420,ながいも,"“Naga-imo”, yams",1,Goods,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,1,1,1,ながいも,1,5,ながいも,1,5,ながいも,1,4,ながいも,1,4,ながいも,1,4,18.98852449,High,65.9,Fresh food,1.52,High
1421,しょうが,Ginger,1,Goods,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,1,0,0,しょうが,1,2,しょうが,1,2,しょうが,1,3,,,,,,,5.499170179,High,80.3,Fresh food,1.25,High
1430,えだまめ,Green soybeans,1,Goods,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,1,1,1,えだまめ,1,3,えだまめ,1,3,えだまめ,1,3,えだまめ,1,3,えだまめ,1,3,10.68673116,High,99.8,Fresh food,1.00,High
1432,さやいんげん,Kidney beans,1,Goods,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,1,1,1,さやいんげん,1,3,さやいんげん,1,3,さやいんげん,1,3,さやいんげん,1,4,さやいんげん,1,4,13.64606566,High,99.7,Fresh food,1.00,High
1433,かぼちゃ,Pumpkins,1,Goods,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,1,1,1,かぼちゃ,1,5,かぼちゃ,1,5,かぼちゃ,1,4,かぼちゃ,1,3,かぼちゃ,1,3,20.13093636,High,92.4,Fresh food,1.08,High
1434,きゅうり,Cucumbers,1,Goods,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,1,1,1,きゅうり,1,10,きゅうり,1,10,きゅうり,1,10,きゅうり,1,9,きゅうり,1,9,20.43205541,High,100.0,Fresh food,1.00,High
1435,なす,Eggplants,1,Goods,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,1,1,1,なす,1,6,なす,1,6,なす,1,5,なす,1,5,なす,1,5,16.49263174,High,100.0,Fresh food,1.00,High
1436,トマト,Tomatoes,1,Goods,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,1,1,1,トマト,1,24,トマト,1,24,トマト,1,19,トマト,1,16,トマト,1,16,14.99790067,High,100.0,Fresh food,1.00,High
1437,ピーマン,Green peppers,1,Goods,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,1,1,1,ピーマン,1,7,ピーマン,1,6,ピーマン,1,5,ピーマン,1,4,ピーマン,1,4,26.00898331,High,100.0,Fresh food,1.00,High
1438,生しいたけ,"“Shiitake”, Japanese mushrooms, fresh",1,Goods,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,1,1,1,生しいたけ,1,9,生しいたけ,1,9,生しいたけ,1,6,生しいたけ,1,5,生しいたけ,1,5,8.500420033,High,91.9,Fresh food,1.09,High
1439,にがうり,#N/A,1,Goods,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,,,,にがうり,1,1,,,,,,,,,,20.15496045,High,65.8,Fresh food,1.52,High
1442,えのきたけ,"“Enokitake”, mushrooms",1,Goods,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,1,1,1,えのきたけ,1,5,えのきたけ,1,6,えのきだけ,1,8,えのきだけ,1,7,えのきだけ,1,7,8.480206103,High,78.9,Fresh food,1.27,High
1443,しめじ,"“Shimeji”, mushrooms",1,Goods,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,1,1,1,しめじ,1,8,しめじ,1,8,しめじ,1,8,しめじ,1,7,しめじ,1,7,6.651568236,High,83.6,Fresh food,1.20,High
1444,カット野菜,Cut vegetables,1,Goods,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,カット野菜,1,3,,,,,,,,,,,,,2.067540138,Mid,65.8,Fresh food,1.52,High
1451,あずき,#N/A,2,Goods,1,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,1,1,1,,,,,,,あずき,2,2,あずき,2,3,あずき,2,3,13.0843111,High,24.4,Other agricultural/aquatic/livestock products,4.10,High
1453,干ししいたけ,"“Shiitake”, Japanese mushrooms, dried",3,Goods,1,1,1,0,1,1,1,0,0,1,0,0,0,0,1,1,1,1,1,干ししいたけ,3,1,干ししいたけ,3,2,干ししいたけ,3,2,干ししいたけ,4,2,干ししいたけ,4,2,4.975651194,High,14.1,Food products,7.11,Mid
1461,干しのり,Dried laver,3,Goods,1,1,1,0,1,1,1,0,0,1,0,0,0,0,1,1,1,1,1,干しのり,3,11,干しのり,3,10,のり,3,9,のり,4,10,のり,4,10,3.927571353,High,10.5,Food products,9.50,Mid
1462,わかめ,"“Wakame”, seaweed",3,Goods,1,1,1,0,1,1,1,0,0,1,0,0,0,0,1,1,1,1,1,わかめ,3,6,わかめ,3,5,わかめ,3,5,わかめ,4,6,わかめ,4,6,4.014416903,High,12.2,Food products,8.23,Mid
1463,こんぶ,Dried tangle,3,Goods,1,1,1,0,1,1,1,0,0,1,0,0,0,0,1,1,1,1,1,こんぶ,3,3,こんぶ,3,4,こんぶ,3,4,こんぶ,4,5,こんぶ,4,5,3.834741752,High,9.9,Food products,10.08,Mid
